시/도,지역구,지역구코드,행정동,행정동코드,선거인수,투표수,새누리당,더불어민주당,국민의당,정의당,기독자유당,민주당,코리아,일제·위안부·인권정당,개혁국민신당,고용복지연금선진화연대,공화당,불교당,기독당,노동당,녹색당,민중연합당,복지국가당,친반통일당,통일한국당,한국국민당,한나라당,계,무효투표수,기권수
서울,강서구병,2411,염창동,1150051000,31049,20537,5166,5669,6201,2263,415,62,7,7,6,6,5,8,86,46,200,63,7,2,4,3,27,20253,284,10512
서울,강서구병,2411,등촌제1동,1150052000,18183,10577,2743,3025,2964,1100,247,43,6,2,2,3,0,5,44,34,110,26,5,0,5,1,8,10373,204,7606
서울,강서구병,2411,등촌제2동,1150053000,17332,10420,3161,2612,2975,922,291,42,5,12,3,6,4,9,44,21,133,28,2,0,7,2,14,10293,127,6912
서울,강서구병,2411,화곡제4동,1150057000,18829,9501,2826,2385,2775,749,287,67,8,13,0,7,2,4,65,17,73,15,7,0,3,3,17,9323,178,9328
서울,강서구병,2411,화곡본동,1150059000,28770,14299,3740,4031,4045,1367,383,109,13,14,7,7,6,13,98,31,118,44,8,0,6,3,25,14068,231,14471
서울,강서구병,2411,화곡제6동,1150059100,20903,11862,3784,2948,3246,974,357,62,7,3,6,6,2,7,78,12,117,21,4,4,6,1,23,11668,194,9041
서울,강서구병,2411,가양제3동,1150060500,14822,8986,2636,2394,2339,782,325,47,4,8,6,5,5,3,45,23,67,27,5,0,12,5,25,8763,223,5836
서울,관악구을,2412,신사동,1162068500,20014,10674,3031,2853,3135,838,218,89,6,9,6,5,5,9,57,24,93,63,10,1,6,2,18,10478,196,9340
서울,관악구을,2412,조원동,1162072500,15472,8517,2519,2220,2527,593,180,61,6,4,4,1,4,4,37,15,81,65,4,2,0,1,7,8335,182,6955
서울,관악구을,2412,미성동,1162076500,27195,16041,5313,3745,4723,990,381,114,7,14,4,5,3,12,92,20,124,118,9,2,11,6,21,15714,327,11154
서울,관악구을,2412,난곡동,1162077500,24858,13672,4454,3170,3997,840,358,133,11,7,4,9,3,7,98,26,73,113,2,1,9,4,26,13345,327,11186
서울,관악구을,2412,난향동,1162071500,13296,8239,2373,2054,2443,708,210,47,1,3,6,5,7,5,53,13,57,80,3,1,8,3,9,8089,150,5057
서울,관악구을,2412,서원동,1162064500,20218,11030,2802,3082,3172,995,238,142,3,13,4,2,5,5,57,29,121,117,9,1,6,3,21,10827,203,9188
서울,관악구을,2412,신원동,1162065500,16112,8830,2526,2424,2410,654,173,121,2,9,2,1,2,6,54,25,79,80,6,0,2,5,17,8598,232,7282
서울,관악구을,2412,서림동,1162066500,21049,12005,3054,3188,3452,1315,240,93,10,8,4,4,1,13,58,34,158,103,3,2,2,4,16,11762,243,9044
서울,관악구을,2412,삼성동,1162074500,23297,14220,4338,3300,4213,1055,345,152,4,14,9,5,6,10,98,21,120,123,9,2,7,6,23,13860,360,9077
서울,관악구을,2412,대학동,1162073500,20293,11977,2814,3176,3288,1778,198,72,4,10,7,3,5,10,47,41,187,125,5,0,4,2,12,11788,189,8316
서울,구로구갑,2413,고척제1동,1153072000,20154,12441,3995,3378,3200,994,291,56,7,6,2,0,2,9,56,21,88,68,8,0,10,2,20,12213,228,7713
서울,구로구갑,2413,고척제2동,1153073000,23486,14082,4268,3829,3672,1207,380,96,11,6,2,4,8,8,71,31,103,51,8,0,3,3,31,13792,290,9404
서울,구로구갑,2413,개봉제1동,1153074000,28163,16687,5333,4457,4307,1190,583,74,4,0,1,6,6,10,94,26,118,81,10,1,6,9,33,16349,338,11476
서울,구로구갑,2413,개봉제2동,1153075000,27625,17932,5509,4888,4762,1473,489,107,3,9,4,3,1,13,95,27,122,57,6,1,6,4,24,17603,329,9693
서울,구로구갑,2413,개봉제3동,1153076000,17605,10183,3036,2827,2783,783,312,44,8,2,6,1,4,3,45,9,44,48,8,7,3,4,18,9995,188,7422
서울,구로구갑,2413,오류제1동,1153077000,17824,10770,3079,2797,2483,931,922,52,7,5,5,2,3,10,74,24,80,49,2,0,3,4,12,10544,226,7054
서울,구로구갑,2413,오류제2동,1153078000,34071,21286,6145,5701,5266,2253,865,107,7,9,9,2,1,9,105,47,193,133,7,3,14,4,31,20911,375,12785
서울,구로구갑,2413,수궁동,1153079000,20266,12665,3376,2967,2709,1024,1952,67,1,7,6,4,3,8,97,45,104,62,5,0,6,3,18,12464,201,7601
서울,서대문구갑,2414,충현동,1141056500,15159,8413,2718,2174,2043,650,256,59,4,7,5,0,2,9,60,27,185,27,1,0,4,1,16,8248,165,6746
서울,서대문구갑,2414,천연동,1141052000,15556,10109,3072,2694,2503,942,217,64,5,2,1,3,4,3,45,26,260,31,0,1,4,4,23,9904,205,5447
서울,서대문구갑,2414,북아현동,1141055500,10084,6084,1836,1606,1531,528,174,54,3,2,1,3,0,8,26,15,130,16,3,1,2,2,21,5962,122,4000
서울,서대문구갑,2414,신촌동,1141058500,15799,8327,2108,2563,1848,974,114,64,0,6,3,4,5,4,29,41,341,49,4,0,1,1,6,8165,162,7472
서울,서대문구갑,2414,연희동,1141061500,31753,18861,5857,4933,4278,1950,458,120,6,13,8,4,5,10,92,70,584,51,2,3,4,4,27,18479,382,12892
서울,서대문구갑,2414,홍제제1동,1141062000,19135,11979,3607,3234,3124,1017,270,81,1,6,6,1,6,6,73,35,203,24,3,1,5,5,18,11726,253,7156
서울,서대문구갑,2414,홍제제2동,1141065500,12579,8382,2627,2198,2165,765,157,56,3,2,5,1,2,3,34,15,146,16,2,0,7,3,8,8215,167,4197
서울,은평구갑,2415,녹번동,1138051000,26622,14335,4252,3816,3803,1255,305,75,10,22,5,9,7,8,55,123,197,36,5,1,6,2,22,14014,321,12287
서울,은평구갑,2415,응암제1동,1138058000,24037,12928,3711,3778,3333,1028,283,60,5,8,2,5,5,12,89,151,134,22,5,3,7,3,16,12660,268,11109
서울,은평구갑,2415,응암제2동,1138059000,17017,8961,2570,2476,2368,822,219,53,0,1,3,3,2,9,48,90,88,17,4,0,1,2,7,8783,178,8056
서울,은평구갑,2415,응암제3동,1138060000,22635,11629,3593,3130,3044,841,296,69,9,10,3,3,4,8,57,92,107,30,6,8,6,3,19,11338,291,11006
서울,은평구갑,2415,역촌동,1138062500,39751,20605,5601,5929,5331,1769,652,110,9,37,7,8,2,11,152,214,240,61,16,6,6,1,30,20192,413,19146
서울,은평구갑,2415,신사제1동,1138063100,22969,13033,3525,3723,3449,1107,372,73,6,6,5,2,1,10,81,158,159,26,17,4,4,2,17,12747,286,9936
서울,은평구갑,2415,신사제2동,1138063200,17353,9503,2746,2620,2440,785,326,51,3,6,2,3,4,4,68,116,112,29,5,1,2,2,16,9341,162,7850
서울,은평구갑,2415,증산동,1138064000,16078,9089,2714,2421,2371,809,272,40,6,5,1,1,2,3,52,79,113,22,4,1,5,3,16,8940,149,6989
서울,은평구갑,2415,수색동,1138065000,13482,7769,2552,1988,1920,622,223,44,6,2,3,0,1,3,35,70,72,10,4,0,9,5,16,7585,184,5713
