시/도,지역구,지역구코드,행정동,행정동코드,선거인수,투표수,더불어민주당,자유한국당,바른미래당,민주평화당,정의당,민중당,대한애국당,노동당,녹색당,우리미래,계,무효투표수,기권수
경기,고양시을,2421,효자동,4128156000,1967,932,388,348,66,3,90,4,3,2,12,3,919,13,1035
경기,고양시을,2421,신도동,,15321,8733,4108,2155,720,30,1506,19,14,39,51,17,8659,74,6588
경기,고양시을,2421,창릉동,4128158000,10333,6143,2920,1497,504,35,1036,17,11,13,29,14,6076,67,4190
경기,고양시을,2421,능곡동,4139064000,14922,8003,3739,2225,561,48,1160,58,18,35,42,23,7909,94,6919
경기,고양시을,2421,행주동,4128163000,17308,7885,3809,2132,545,58,997,95,24,33,31,26,7750,135,9423
경기,고양시을,2421,행신1동,4128164000,18376,11087,5694,2408,867,62,1746,33,28,47,56,29,10970,117,7289
경기,고양시을,2421,행신2동,4128165000,26709,16192,8300,3475,1120,67,2666,153,47,64,99,33,16024,168,10517
경기,고양시을,2421,행신3동,4128165500,37060,21747,10937,4502,1638,120,3950,79,45,109,130,28,21538,209,15313
경기,고양시을,2421,화전동,4128166000,4679,2269,1108,670,172,13,223,13,5,7,8,11,2230,39,2410
경기,고양시을,2421,대덕동,4128167000,2039,1005,421,350,78,6,112,6,4,1,7,2,987,18,1034
경기,부천시을,2422,약대동,4119261000,15443,8370,4650,1816,711,70,891,23,22,15,34,32,8264,106,7073
경기,부천시을,2422,중동,4119262000,18736,9814,5251,2283,820,73,1134,25,27,36,53,21,9723,91,8922
경기,부천시을,2422,중1동,4119263000,27817,15239,8598,3064,1260,78,1860,44,32,30,87,25,15078,161,12578
경기,부천시을,2422,중2동,4119264000,24434,13496,6607,3570,1370,74,1553,40,27,19,60,26,13346,150,10938
경기,부천시을,2422,중3동,4119265000,19600,11195,6204,2433,882,79,1295,34,15,32,62,29,11065,130,8405
경기,부천시을,2422,중4동,4119266000,16579,10037,5571,2062,815,65,1247,47,19,26,46,26,9924,113,6542
경기,부천시을,2422,상동,4119267000,16305,8692,4389,2224,782,61,993,29,26,12,52,25,8593,99,7613
경기,부천시을,2422,상1동,4119268000,19245,11591,6622,2076,962,61,1600,35,25,29,52,24,11486,105,7654
경기,부천시을,2422,상2동,4119269000,21878,13468,7344,2504,1238,68,2034,38,21,33,74,22,13376,92,8410
경기,부천시을,2422,상3동,4119270000,24179,14897,7647,3176,1530,76,2165,42,20,34,59,32,14781,116,9282
경기,수원시을,2423,율천동,4111156600,34766,21176,11165,4081,1891,112,3262,82,41,74,124,35,20867,309,13590
경기,수원시을,2423,평동,4111355000,31511,16422,8557,4279,1193,107,1808,69,43,40,66,55,16217,205,15089
경기,수원시을,2423,서둔동,4111356000,31912,15600,8282,3991,1025,114,1672,73,57,66,58,58,15396,204,16312
경기,수원시을,2423,구운동,4111365000,20955,11466,5798,3047,851,63,1369,45,31,40,40,33,11317,149,9489
경기,수원시을,2423,금곡동,4111366200,32779,20255,10622,4216,1760,80,2654,480,33,64,89,34,20032,223,12524
경기,수원시을,2423,호매실동,4111366400,25877,14922,8528,2783,1023,83,2081,118,27,44,60,35,14782,140,10955
경기,수원시을,2423,입북동,4111370000,12941,8126,4261,1658,682,48,1165,144,18,31,22,18,8047,79,4815
경기,평택시을,2424,팽성읍,4122025000,23905,10759,4619,3975,1010,57,680,48,42,36,21,37,10525,234,13146
경기,평택시을,2424,안중읍,4122025300,31125,16596,8769,4001,1287,67,1799,109,58,132,35,50,16307,289,14529
경기,평택시을,2424,포승읍,4122025600,19413,8524,4464,2327,602,61,707,63,29,54,13,31,8351,173,10889
경기,평택시을,2424,청북읍,4122025900,17334,8777,5008,1989,572,39,911,40,19,42,17,20,8657,120,8557
경기,평택시을,2424,고덕면,4122033000,8140,3878,1823,1331,260,21,294,25,7,15,9,16,3801,77,4262
경기,평택시을,2424,오성면,4122034000,5943,3053,1302,1156,239,16,195,24,11,19,12,7,2981,72,2890
경기,평택시을,2424,현덕면,4122037000,5018,2878,1014,1246,234,25,179,10,26,22,5,10,2771,107,2140
경기,화성시을,2425,동탄4동,4159058800,35063,23043,12931,3475,2538,166,3528,104,20,59,54,31,22906,137,12020
경기,화성시을,2425,동탄6동,4159060000,33129,18441,10759,2873,1857,132,2471,55,21,42,55,48,18313,128,14688
