시/도,지역구,지역구코드,행정동,행정동코드,선거인수,투표수,더불어민주당 송영길,국민의힘 오세훈,정의당 권수정,기본소득당 신지혜,무소속 김광종,계,무효투표수,기권수
서울,강서구병,2411,염창동,1150051000,"31,807","17,615","7,205","10,002",248,39,29,"17,523",92,"14,192"
서울,강서구병,2411,등촌제1동,1150052000,"20,983","9,697","3,948","5,479",153,26,18,"9,624",73,"11,286"
서울,강서구병,2411,등촌제2동,1150053000,"16,697","8,504","3,180","5,138",89,20,9,"8,436",68,"8,193"
서울,강서구병,2411,화곡제4동,1150057000,"17,703","7,864","3,369","4,306",84,17,19,"7,795",69,"9,839"
서울,강서구병,2411,화곡본동,1150059000,"28,304","11,346","5,127","5,898",157,54,17,"11,253",93,"16,958"
서울,강서구병,2411,화곡제6동,1150059100,"21,634","10,361","4,165","5,936",122,30,26,"10,279",82,"11,273"
서울,강서구병,2411,가양제3동,1150060500,"13,315","7,331","2,905","4,195",91,23,16,"7,230",101,"5,984"
서울,관악구을,2412,신사동,1162068500,"20,846","8,693","3,846","4,553",148,32,31,"8,610",83,"12,153"
서울,관악구을,2412,조원동,1162072500,"15,972","7,193","3,088","3,862",105,26,21,"7,102",91,"8,779"
서울,관악구을,2412,미성동,1162076500,"25,913","12,796","5,195","7,293",119,32,21,"12,660",136,"13,117"
서울,관악구을,2412,난곡동,1162077500,"22,708","10,481","4,577","5,592",129,28,21,"10,347",134,"12,227"
서울,관악구을,2412,난향동,1162071500,"12,346","6,569","2,827","3,615",65,9,5,"6,521",48,"5,777"
서울,관악구을,2412,서원동,1162064500,"20,498","8,455","3,681","4,451",174,21,20,"8,347",108,"12,043"
서울,관악구을,2412,신원동,1162065500,"16,244","7,133","3,212","3,681",114,22,20,"7,049",84,"9,111"
서울,관악구을,2412,서림동,1162066500,"19,542","8,637","3,571","4,710",184,42,28,"8,535",102,"10,905"
서울,관악구을,2412,삼성동,1162074500,"18,289","10,234","4,606","5,311",134,24,16,"10,091",143,"8,055"
서울,관악구을,2412,대학동,1162073500,"20,611","9,301","3,893","5,047",207,36,23,"9,206",95,"11,310"
서울,구로구갑,2413,고척제1동,1153072000,"18,845","10,008","3,960","5,814",112,26,27,"9,939",69,"8,837"
서울,구로구갑,2413,고척제2동,1153073000,"21,679","11,038","4,484","6,275",118,32,24,"10,933",105,"10,641"
서울,구로구갑,2413,개봉제1동,1153074000,"28,311","14,260","5,696","8,180",158,47,28,"14,109",151,"14,051"
서울,구로구갑,2413,개봉제2동,1153075000,"26,040","14,632","5,923","8,335",141,24,37,"14,460",172,"11,408"
서울,구로구갑,2413,개봉제3동,1153076000,"17,185","8,394","3,561","4,634",80,22,17,"8,314",80,"8,791"
서울,구로구갑,2413,오류제1동,1153077000,"19,864","9,650","3,928","5,426",134,30,22,"9,540",110,"10,214"
서울,구로구갑,2413,오류제2동,1153078000,"29,993","15,617","6,443","8,656",263,44,33,"15,439",178,"14,376"
서울,구로구갑,2413,수궁동,1153079000,"19,489","10,422","3,813","6,322",117,27,14,"10,293",129,"9,067"
서울,구로구갑,2413,항동,1153080000,"12,016","6,691","3,022","3,478",116,17,6,"6,639",52,"5,325"
서울,서대문구갑,2414,충현동,1141056500,"16,224","7,854","3,013","4,604",103,32,17,"7,769",85,"8,370"
서울,서대문구갑,2414,천연동,1141052000,"14,028","7,973","3,193","4,522",151,29,18,"7,913",60,"6,055"
서울,서대문구갑,2414,북아현동,1141055500,"13,563","7,377","2,863","4,276",126,23,14,"7,302",75,"6,186"
서울,서대문구갑,2414,신촌동,1141058500,"17,280","6,543","2,520","3,730",145,76,10,"6,481",62,"10,737"
서울,서대문구갑,2414,연희동,1141061500,"29,078","13,245","5,132","7,632",279,77,16,"13,136",109,"15,833"
서울,서대문구갑,2414,홍제제1동,1141062000,"18,651","9,936","4,059","5,591",138,42,29,"9,859",77,"8,715"
서울,서대문구갑,2414,홍제제2동,1141065500,"11,726","6,891","2,764","3,925",96,21,12,"6,818",73,"4,835"
서울,은평구갑,2415,녹번동,1138051000,"30,320","14,236","5,890","7,998",181,41,19,"14,129",107,"16,084"
서울,은평구갑,2415,응암제1동,1138058000,"26,100","12,548","5,468","6,770",154,37,18,"12,447",101,"13,552"
서울,은평구갑,2415,응암제2동,1138059000,"20,931","10,095","4,408","5,439",133,24,18,"10,022",73,"10,836"
서울,은평구갑,2415,응암제3동,1138060000,"21,627","9,861","4,486","5,053",119,33,24,"9,715",146,"11,766"
서울,은평구갑,2415,역촌동,1138062500,"37,865","17,211","8,011","8,611",270,54,59,"17,005",206,"20,654"
서울,은평구갑,2415,신사제1동,1138063100,"22,757","11,130","5,047","5,743",151,37,27,"11,005",125,"11,627"
서울,은평구갑,2415,신사제2동,1138063200,"15,864","7,337","3,083","4,004",107,27,17,"7,238",99,"8,527"
서울,은평구갑,2415,증산동,1138064000,"13,866","7,400","3,156","4,059",98,20,12,"7,345",55,"6,466"
서울,은평구갑,2415,수색동,1138065000,"10,798","5,795","2,214","3,428",62,20,21,"5,745",50,"5,003"
