시/도,지역구,지역구코드,행정동,행정동코드,선거인수,투표수,더불어민주당 이재명,국민의힘 김문수,개혁신당 이준석,민주노동당 권영국,무소속 송진호,계,무효 투표수,기권수
경기,고양시을,2421,효자동,4128156000,"18,008","14,906","8,089","5,000","1,494",208,10,"14,801",105,"3,102"
경기,고양시을,2421,삼송1동,4128157600,"18,792","15,406","8,139","5,478","1,445",217,11,"15,290",116,"3,386"
경기,고양시을,2421,삼송2동,4128157700,"21,609","17,057","8,801","6,428","1,494",198,14,"16,935",122,"4,552"
경기,고양시을,2421,창릉동,4128158000,"16,343","12,896","6,573","4,865","1,210",149,8,"12,805",91,"3,447"
경기,고양시을,2421,능곡동,4139064000,"13,590","10,570","5,082","4,487",815,100,7,"10,491",79,"3,020"
경기,고양시을,2421,행주동,4128163000,"10,020","6,967","3,305","3,083",462,60,9,"6,919",48,"3,053"
경기,고양시을,2421,행신1동,4128164000,"15,745","12,713","6,603","4,851","1,008",159,7,"12,628",85,"3,032"
경기,고양시을,2421,행신2동,4128165000,"23,660","19,246","9,948","7,183","1,707",250,19,"19,107",139,"4,414"
경기,고양시을,2421,행신3동,4128165500,"17,462","14,341","7,507","5,432","1,139",151,8,"14,237",104,"3,121"
경기,고양시을,2421,행신4동,4128165600,"15,659","12,054","6,565","4,386",890,124,9,"11,974",80,"3,605"
경기,고양시을,2421,화전동,4128166000,"18,677","14,822","8,050","5,202","1,297",177,11,"14,737",85,"3,855"
경기,고양시을,2421,대덕동,4128167000,"10,857","8,742","4,449","3,302",828,99,8,"8,686",56,"2,115"
경기,부천시을,2422,약대동,4119261000,"13,309","10,589","5,628","3,947",828,99,9,"10,511",78,"2,720"
경기,부천시을,2422,중동,4119262000,"15,718","12,011","5,827","5,064",936,107,5,"11,939",72,"3,707"
경기,부천시을,2422,중1동,4119263000,"29,901","23,042","11,525","9,064","2,071",228,15,"22,903",139,"6,859"
경기,부천시을,2422,중2동,4119264000,"19,493","15,044","6,558","7,141","1,087",139,10,"14,935",109,"4,449"
경기,부천시을,2422,중3동,4119265000,"18,270","14,727","7,521","5,705","1,235",156,16,"14,633",94,"3,543"
경기,부천시을,2422,중4동,4119266000,"17,062","14,287","7,698","5,013","1,294",167,10,"14,182",105,"2,775"
경기,부천시을,2422,상동,4119267000,"18,705","15,452","8,393","5,423","1,343",178,6,"15,343",109,"3,253"
경기,부천시을,2422,상1동,4119268000,"18,705","15,452","8,393","5,423","1,343",178,6,"15,343",109,"3,253"
경기,부천시을,2422,상2동,4119269000,"20,760","17,186","9,205","6,205","1,469",186,10,"17,075",111,"3,574"
경기,부천시을,2422,상3동,4119270000,"22,401","18,490","9,505","7,017","1,670",175,13,"18,380",110,"3,911"
경기,수원시을,2423,율천동,4111156600,"31,529","25,820","12,235","9,372","3,721",265,18,"25,611",209,"5,709"
경기,수원시을,2423,평동,4111355000,"31,609","24,192","11,935","9,683","2,163",215,17,"24,013",179,"7,417"
경기,수원시을,2423,서둔동,4111356000,"28,700","20,363","9,914","8,430","1,648",191,19,"20,202",161,"8,337"
경기,수원시을,2423,구운동,4111365000,"18,118","13,857","6,735","5,796","1,090",133,15,"13,769",88,"4,261"
경기,수원시을,2423,금곡동,4111366200,"33,423","26,682","14,214","9,676","2,327",268,19,"26,504",178,"6,741"
경기,수원시을,2423,호매실동,4111366400,"30,743","24,253","13,873","8,081","1,949",218,9,"24,130",123,"6,490"
경기,수원시을,2423,입북동,4111370000,"14,190","11,429","6,041","4,131","1,052",109,11,"11,344",85,"2,761"
경기,평택시을,2424,팽성읍,4122025000,"23,022","15,699","6,992","7,638",874,95,9,"15,608",91,"7,323"
경기,평택시을,2424,안중읍,4122025300,"31,993","23,018","12,468","8,452","1,746",204,24,"22,894",124,"8,975"
경기,평택시을,2424,포승읍,4122025600,"19,218","13,304","7,209","4,780","1,113",94,17,"13,213",91,"5,914"
경기,평택시을,2424,청북읍,4122025900,"18,822","13,883","8,004","4,688",996,99,19,"13,806",77,"4,939"
경기,평택시을,2424,고덕면,4122033000,"11,820","8,797","4,436","3,443",798,67,10,"8,754",43,"3,023"
경기,평택시을,2424,오성면,4122034000,"6,206","4,745","2,338","2,097",246,37,3,"4,721",24,"1,461"
경기,평택시을,2424,현덕면,4122037000,"5,909","4,645","2,267","2,061",256,39,4,"4,627",18,"1,264"
경기,평택시을,2424,고덕동,4122066000,"37,158","27,644","12,891","10,418","3,866",229,25,"27,429",215,"9,514"
경기,화성시을,2425,동탄4동,4159058800,"35,658","30,573","15,896","10,188","4,033",297,12,"30,426",147,"5,085"
경기,화성시을,2425,동탄6동,4159060000,"30,134","23,659","10,993","8,613","3,693",203,22,"23,524",135,"6,475"
경기,화성시을,2425,동탄7동,4159061000,"37,547","29,749","15,069","10,349","3,927",246,15,"29,606",143,"7,798"
경기,화성시을,2425,동탄8동,4159062000,"24,786","20,412","10,939","6,365","2,764",191,17,"20,276",136,"4,374"
경기,화성시을,2425,동탄9동,4159063000,"30,580","24,798","12,812","7,957","3,661",216,12,"24,658",140,"5,782"
