코드,선거구,이름,정당,성별,연령,총선직업,총선학력,총선경력,선수,24년득표,24년득표율,최근경력,인물경쟁력,재출마가능성
2411,강서구병,한정애,더불어민주당,여성,60세,"국회의원	",영국 노팅엄대학교 산업공학박사 (1999.9~2003.4),"(현)강서구병 국회의원
(전)제19대 환경부 장관",4선," 62,297 ",59.14%,"2025년 8월~: 더불어민주당 정책위원회 의장
2025년 8월~: 더불어민주당 기후위기대응환경특별위원회 위원장",하,하
2412,관악구을,정태호,더불어민주당,남성,62세,국회의원,서울대학교 사회복지학과 졸업,"(현)제21대 국회의원
(전)문재인대통령 비서실 일자리수석",재선," 73,771 ",57.98%,"제22대 국회 전반기 기획재정위원회 간사
~현재: 더불어민주당 정책위원회 기획재정정책조정위원장
국정기획위원회 경제1분과위원장 (이재명 정부)",중,중
2413,구로구갑,이인영,더불어민주당,남성,60세,국회의원,고려대학교 언론대학원 정보통신학과 졸업(언론학 석사),"(전)더불어민주당 원내대표
(전)제41대 통일부 장관",5선," 80,182 ",55.74%,,중,하
2414,서대문구갑,김동아,더불어민주당,남성,37세,변호사,건국대학교 법과대학 법학과 졸업,"(현) 더불어민주당 정책위원회 부의장
(현) 법률사무소 온길 대표변호사",초선," 44,890 ",50.76%,"~현재: 더불어민주당 청년미래연석회의 의장
~현재: 더불어민주당 서울특별시당 사회적경제위원장
~현재: 더불어민주당 허위조작감시단 단장",중,중
2415,은평구갑,박주민,더불어민주당,남성,51세,국회의원,서울대학교 법과대학 사법학과 졸업,"(현)더불어민주당 원내수석부대표
(현)더불어민주당 을지키는민생실천위원회 위원장",3선," 89,379 ",60.79%,"제22대 국회 전반기 보건복지위원회 위원장
~현재: 더불어민주당 의료대란대책특별위원장
~현재: 더불어민주당 기본사회위원회 수석부위원장",상,하
2421,고양시을,한준호,더불어민주당,남성,51세,국회의원,가톨릭대학교 글로벌융합대학원 졸업(한류MBA석사),"(현) 제21대 국회의원
(전) MBC 문화방송 아나운서",재선," 97,402 ",61.25%,"더불어민주당 언론개혁TF단장
24년 8월: 더불어민주당 최고위원 당선
진짜 대한민국 선거대책위원회 공동선거대책위원장",상,상
2422,부천시을,김기표,더불어민주당,남성,52세,변호사(법무법인(유) 한빛 대표변호사),서울대학교 법과대학 공법학과 졸업,"(전)청와대 민정수석실 비서관
(전)대검찰청 검찰연구관",초선," 82,475 ",55.90%,"~현재: 더불어민주당 원내부대표
~현재: 더민주전국혁신회의 공동상임대표",상,상
2423,수원시을,백혜련,더불어민주당,여성,58세,국회의원,고려대학교 사회학과 졸업,"(현)국회의원(20,21대)
(전)더불어민주당 최고위원",3선," 86,677 ",61.74%,,중,중
2424,평택시을,이병진,더불어민주당,남성,60세,한국외국어대학교 중국연구소 정치외교분과 연구위원,"북경대학교 대학원 졸업(법학 박사, 1994.9~1997.7)","(현)더불어민주당 당대표 외교안보특보
(전)평택대학교 교수",초선," 49,998 ",54.23%,,하,중
2425,화성시을,이준석,개혁신당,남성,40세,정당인,하버드대학교 Computer Science / Economics AB 졸업 (2003.09.~2007.06.),"(전) 국민의힘 당대표
(현) 개혁신당 당대표",초선," 51,856 ",42.41%,개혁신당 제21대 대통령 선거 후보,상,중
